Region,Date,Fatalities,Year,Month,Day,Quarter
Banadir,2018.158904109589,0,2018,2,28,1
Banadir,2018.158904109589,0,2018,2,28,1
Banadir,2018.158904109589,0,2018,2,28,1
Banadir,2018.158904109589,1,2018,2,28,1
Banadir,2018.158904109589,1,2018,2,28,1
Banadir,2018.1616438356164,0,2018,3,1,1
Banadir,2018.1616438356164,0,2018,3,1,1
Banadir,2018.1616438356164,1,2018,3,1,1
Banadir,2018.1616438356164,3,2018,3,1,1
Banadir,2018.164383561644,0,2018,3,2,1
Banadir,2018.164383561644,2,2018,3,2,1
Banadir,2018.1671232876713,1,2018,3,3,1
Banadir,2018.1671232876713,2,2018,3,3,1
Banadir,2018.1671232876713,5,2018,3,3,1
Banadir,2018.172602739726,1,2018,3,5,1
Banadir,2018.1753424657534,1,2018,3,6,1
Banadir,2018.1753424657534,0,2018,3,6,1
Banadir,2018.1808219178083,0,2018,3,8,1
Banadir,2018.1808219178083,0,2018,3,8,1
Banadir,2018.1808219178083,1,2018,3,8,1
Banadir,2018.1835616438357,0,2018,3,9,1
Banadir,2018.186301369863,2,2018,3,10,1
Banadir,2018.1890410958904,4,2018,3,11,1
Banadir,2018.1890410958904,1,2018,3,11,1
Banadir,2018.1917808219177,1,2018,3,12,1
Banadir,2018.1917808219177,1,2018,3,12,1
Banadir,2018.1917808219177,1,2018,3,12,1
Banadir,2018.1917808219177,0,2018,3,12,1
Banadir,2018.1972602739727,0,2018,3,14,1
Banadir,2018.1972602739727,1,2018,3,14,1
Banadir,2018.2054794520548,1,2018,3,17,1
Banadir,2018.2054794520548,10,2018,3,17,1
Banadir,2018.2082191780821,0,2018,3,18,1
Banadir,2018.2082191780821,1,2018,3,18,1
Banadir,2018.2082191780821,3,2018,3,18,1
Banadir,2018.2109589041097,2,2018,3,19,1
Banadir,2018.213698630137,1,2018,3,20,1
Banadir,2018.2164383561644,4,2018,3,21,1
Banadir,2018.2164383561644,0,2018,3,21,1
Banadir,2018.2164383561644,1,2018,3,21,1
Banadir,2018.2191780821918,0,2018,3,22,1
Banadir,2018.2191780821918,3,2018,3,22,1
Banadir,2018.2191780821918,0,2018,3,22,1
Banadir,2018.2191780821918,17,2018,3,22,1
Banadir,2018.2246575342465,0,2018,3,24,1
Banadir,2018.2246575342465,0,2018,3,24,1
Banadir,2018.227397260274,0,2018,3,25,1
Banadir,2018.227397260274,1,2018,3,25,1
Banadir,2018.227397260274,1,2018,3,25,1
Banadir,2018.227397260274,6,2018,3,25,1
Banadir,2018.2301369863014,0,2018,3,26,1
Banadir,2018.2301369863014,2,2018,3,26,1
Banadir,2018.2328767123288,1,2018,3,27,1
Banadir,2018.2328767123288,0,2018,3,27,1
Banadir,2018.2328767123288,0,2018,3,27,1
Banadir,2018.2328767123288,0,2018,3,27,1
Banadir,2018.2328767123288,1,2018,3,27,1
Banadir,2018.2356164383561,1,2018,3,28,1
Banadir,2018.2356164383561,1,2018,3,28,1
Banadir,2018.2356164383561,1,2018,3,28,1
Banadir,2018.2383561643835,0,2018,3,29,1
Banadir,2018.2383561643835,1,2018,3,29,1
Banadir,2018.2383561643835,1,2018,3,29,1
Banadir,2018.2383561643835,0,2018,3,29,1
Banadir,2018.2383561643835,2,2018,3,29,1
Banadir,2018.2410958904109,1,2018,3,30,1
Banadir,2018.2438356164384,0,2018,3,31,1
Banadir,2018.2438356164384,0,2018,3,31,1
Banadir,2018.2438356164384,2,2018,3,31,1
Banadir,2018.2465753424658,0,2018,4,1,2
Banadir,2018.2465753424658,0,2018,4,1,2
Banadir,2018.2465753424658,1,2018,4,1,2
Banadir,2018.2465753424658,1,2018,4,1,2
Banadir,2018.2493150684932,1,2018,4,2,2
Banadir,2018.2520547945205,1,2018,4,3,2
Banadir,2018.2520547945205,0,2018,4,3,2
Banadir,2018.2547945205479,0,2018,4,4,2
Banadir,2018.2547945205479,3,2018,4,4,2
Banadir,2018.2547945205479,5,2018,4,4,2
Banadir,2018.2575342465752,10,2018,4,5,2
Banadir,2018.2602739726028,4,2018,4,6,2
Banadir,2018.2602739726028,0,2018,4,6,2
Banadir,2018.2602739726028,1,2018,4,6,2
Banadir,2018.2602739726028,0,2018,4,6,2
Banadir,2018.268493150685,0,2018,4,9,2
Banadir,2018.268493150685,0,2018,4,9,2
Banadir,2018.2712328767122,2,2018,4,10,2
Banadir,2018.2712328767122,2,2018,4,10,2
Banadir,2018.2712328767122,0,2018,4,10,2
Banadir,2018.2739726027398,1,2018,4,11,2
Banadir,2018.2739726027398,0,2018,4,11,2
Banadir,2018.2767123287672,0,2018,4,12,2
Banadir,2018.2767123287672,2,2018,4,12,2
Banadir,2018.282191780822,0,2018,4,14,2
Banadir,2018.282191780822,1,2018,4,14,2
Banadir,2018.2849315068493,0,2018,4,15,2
Banadir,2018.2849315068493,1,2018,4,15,2
Banadir,2018.2849315068493,0,2018,4,15,2
Banadir,2018.2849315068493,0,2018,4,15,2
Banadir,2018.2849315068493,1,2018,4,15,2
Banadir,2018.2876712328766,1,2018,4,16,2
Banadir,2018.2904109589042,0,2018,4,17,2
Banadir,2018.2904109589042,1,2018,4,17,2
Banadir,2018.2931506849316,0,2018,4,18,2
Banadir,2018.295890410959,0,2018,4,19,2
Banadir,2018.295890410959,1,2018,4,19,2
Banadir,2018.3013698630136,1,2018,4,21,2
Banadir,2018.3013698630136,2,2018,4,21,2
Banadir,2018.3068493150686,0,2018,4,23,2
Banadir,2018.3068493150686,0,2018,4,23,2
Banadir,2018.3068493150686,0,2018,4,23,2
Banadir,2018.3068493150686,2,2018,4,23,2
Banadir,2018.309589041096,0,2018,4,24,2
Banadir,2018.309589041096,1,2018,4,24,2
Banadir,2018.309589041096,0,2018,4,24,2
Banadir,2018.309589041096,1,2018,4,24,2
Banadir,2018.309589041096,1,2018,4,24,2
Banadir,2018.309589041096,1,2018,4,24,2
Banadir,2018.3123287671233,1,2018,4,25,2
Banadir,2018.3123287671233,1,2018,4,25,2
Banadir,2018.3123287671233,1,2018,4,25,2
Banadir,2018.3150684931506,1,2018,4,26,2
Banadir,2018.317808219178,2,2018,4,27,2
Banadir,2018.317808219178,1,2018,4,27,2
Banadir,2018.317808219178,1,2018,4,27,2
Banadir,2018.3205479452056,0,2018,4,28,2
Banadir,2018.3205479452056,0,2018,4,28,2
Banadir,2018.3205479452056,1,2018,4,28,2
Banadir,2018.323287671233,0,2018,4,29,2
Banadir,2018.323287671233,5,2018,4,29,2
Banadir,2018.3260273972603,3,2018,4,30,2
Banadir,2018.3260273972603,1,2018,4,30,2
Banadir,2018.3287671232877,1,2018,5,1,2
Banadir,2018.3287671232877,0,2018,5,1,2
Banadir,2018.331506849315,0,2018,5,2,2
Banadir,2018.331506849315,2,2018,5,2,2
Banadir,2018.331506849315,1,2018,5,2,2
Banadir,2018.331506849315,4,2018,5,2,2
Banadir,2018.3342465753424,1,2018,5,3,2
Banadir,2018.33698630137,1,2018,5,4,2
Banadir,2018.3397260273973,1,2018,5,5,2
Banadir,2018.3397260273973,1,2018,5,5,2
